Document,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40,Topic41,Topic42,Topic43,Topic44,Topic45,Topic46,Topic47,Topic48,Topic49,Topic50
1905_0,1.44,0.74,0.04,1.09,0.04,8.81,0.04,0.39,0.39,0.39,0.04,0.39,12.32,0.39,1.44,0.74,15.12,14.42,0.04,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146_0,0.05,0.51,0.05,0.98,0.05,7.06,22.01,2.85,0.05,18.74,0.05,3.79,23.88,2.38,0.05,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940_0,1.57,38.71,0.14,0.14,1.57,0.14,0.14,0.14,0.14,0.14,21.57,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.57,0.14,3,0.14,0.14,1.57,0.14,0.14,0.14,0.14,0.14,0.14,3,0.14,0.14,0.14,0.14,0.14,0.14,1.57,0.14,0.14,20.14,0.14,0.14,0.14,0.14
1103_0,0.14,0.14,0.14,0.14,0.14,4.43,0.14,0.14,0.14,10.14,0.14,5.86,0.14,8.71,0.14,0.14,0.14,0.14,0.14,0.14,0.14,14.43,30.14,0.14,0.14,0.14,15.86,1.57,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,3,0.14,0.14
556_0,0.07,8.29,0.07,1.44,0.07,19.93,31.58,12.4,0.07,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187_0,0.08,2.54,0.08,5.82,0.08,3.36,0.08,0.9,47.62,6.64,0.08,15.66,0.08,2.54,0.08,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513_0,0.04,8.31,0.04,2.29,1.17,1.92,1.92,0.79,8.68,25.23,0.04,9.06,0.04,7.56,0.04,6.43,0.04,0.41,0.04,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981_0,0.01,3.42,1.45,2.37,0.01,0.14,9.97,4.21,1.32,0.41,5.12,0.8,13.38,3.81,0.01,0.93,0.01,0.14,4.21,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90_0,0.07,2.05,0.07,0.73,0.07,7.35,0.07,2.72,0.07,16.62,0.07,17.28,11.99,13.31,0.07,13.31,1.39,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1247_0,0.75,5.51,12.99,2.11,0.07,1.43,2.11,0.75,2.11,9.59,10.27,1.43,4.83,0.75,0.07,8.91,0.07,8.23,5.51,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
